CON_TICKET_ID,VIC_DESCRIPTION,CLM_DESCRIPTION,CON_ISSUE_DATE,VKL_DESCRIPTION
11S00008,Parking Without Authorization,East Mall Road,15-01-06,Infiniti
11S00009,Parking Without Authorization,Osborne Gym Lot,15-01-06,Kia
11S00010,Parking Without Authorization,C2 LOT,15-01-06,Nissan
11S00011,Parking Without Authorization,North Parkade,15-01-06,Mitsubishi
11S00012,Parking Without Authorization,Winter Sports Lot,15-01-07,Fiat
11S00013,Parking Without Authorization,Wright Field Lot,15-01-07,Land Rover
11S00014,Parking Without Authorization,Winter Sports Lot,15-01-07,Infiniti
11S00015,Expired Time,Wright Field Lot,15-01-07,Dodge
11S00016,Parking Without Authorization,Keremeos Court,15-01-07,Mazda
11S00017,Parking Without Authorization,Oyama Court,15-01-07,Hyundai
11S00018,Parking Without Authorization,Oyama Court,15-01-07,Toyota
11S00019,Expired Time,Doug Mitchell Arena,15-01-07,Mercendes-Benz
11S00020,Expired Time,Doug Mitchell Arena,15-01-07,Acura
11S00021,Parking Without Authorization,Applied Sciences Lane,15-01-08,Subaru
11S00022,Parking Without Authorization,University Boulevard,15-01-08,BMW
11S00023,Expired Time,Acute Care Unit Lot,15-01-08,Porsche
11S00024,Parking Without Authorization,Fraser River Parkade,15-01-08,Volkswagen
11S00025,Parking Without Authorization,Fraser River Parkade,15-01-08,BMW
11S00026,Parking Without Authorization,Fraser River Parkade,15-01-08,Nissan
11S00027,Parking Without Authorization,University Services Bldg,15-01-08,Infiniti
11S00028,Parking Without Authorization,Fraser River Parkade,15-01-08,Audi
11S00029,Expired Time,Fraser River Parkade,15-01-08,Honda
11S00030,Parking Without Authorization,Fraser River Parkade,15-01-08,Acura
11S00031,Parking Without Authorization,Fraser River Parkade,15-01-08,Dodge
11S00032,Expired Time,Acute Care Unit Lot,15-01-08,Toyota
11S00033,Parking Without Authorization,Fraser River Parkade,15-01-08,Mitsubishi
11S00034,Expired Time,Fraser River Parkade,15-01-08,Volkswagen
11S00035,Parking Without Authorization,Fraser River Parkade,15-01-08,Ford
11S00036,Parking Without Authorization,Fraser River Parkade,15-01-08,Honda
11S00037,Parking Without Authorization,Fraser River Parkade,15-01-08,Subaru
11S00038,Parking Without Authorization,Fraser River Parkade,15-01-08,Acura
11S00039,Parking Without Authorization,Fraser River Parkade,15-01-08,Subaru
