CON_TICKET_ID,VIC_DESCRIPTION,CLM_DESCRIPTION,CON_ISSUE_DATE,VKL_DESCRIPTION
1S02467,Expired Time,North Parkade,15-05-15,Audi
1S02468,Parking Without Authorization,North Parkade,15-05-15,Mazda
1S02469,Parking Without Authorization,Winter Sports Lot,15-05-18,Volkswagen
1S02470,Parking Without Authorization,Winter Sports Lot,15-05-18,Toyota
1S02471,Parking Without Authorization,Winter Sports Lot,15-05-18,Ford
1S02472,Parking Without Authorization,Thunderbird Parkade,15-05-18,Toyota
1S02473,Parking Without Authorization,Thunderbird Parkade,15-05-18,BMW
1S02474,Parking Without Authorization,Thunderbird Parkade,15-05-18,Mazda
1S02475,Parking Without Authorization,Thunderbird Parkade,15-05-18,Subaru
1S02476,Parking Without Authorization,Thunderbird Parkade,15-05-18,Saturn
1S02477,Parking Without Authorization,Marine Drive Meters,15-05-18,Mazda
1S02478,Parking Without Authorization,West Parkade,15-05-18,Mini
1S02479,Parking Without Authorization,West Parkade,15-05-18,Lexus
1S02480,Parking Without Authorization,Buchanan Meters,15-05-18,Mitsubishi
1S02481,Parking Without Authorization,Walter Gage Road,15-05-18,Volkswagen
1S02482,Parking Without Authorization,2100 Blk Wesbrook Mall,15-05-18,Chevrolet
1S02483,Expired Time,Winter Sports Lot,15-05-18,Ford
1S02484,Parking Without Authorization,Thunderbird Parkade,15-05-18,Volvo
1S02485,Expired Time,Thunderbird Parkade,15-05-18,Nissan
1S02486,Parking Without Authorization,Thunderbird Parkade,15-05-18,BMW
1S02487,Parking Without Authorization,Thunderbird Parkade,15-05-18,Nissan
1S02488,Parking Without Authorization,Winter Sports Lot,15-05-18,Dodge
1S02489,Parking Without Authorization,Winter Sports Lot,15-05-18,Volkswagen
1S02490,Parking Without Authorization,Winter Sports Lot,15-05-18,Fiat
1S02491,Parking Without Authorization,Wesbrook Mall,15-05-18,Ford
1S02492,Parking Without Authorization,Wright Field Lot,15-05-18,Volkswagen
1S02493,Parking Without Authorization,East Mall Road,15-05-18,Chevrolet
1S02494,Parking Without Authorization,Marine Drive Residences,15-05-18,Acura
1S02495,Parking Without Authorization,West Parkade,15-05-18,BMW
1S02496,Parking Without Authorization,West Parkade,15-05-18,Honda
1S02497,Parking Without Authorization,West Parkade,15-05-18,Toyota
1S02498,Parking Without Authorization,West Parkade,15-05-18,Toyota
1S02499,Expired Time,B4 LOT,15-05-18,Chrysler
1S02500,Parking Without Authorization,Marine Drive Meters,15-05-18,Kia
1S02501,Parking Without Authorization,Marine Drive Meters,15-05-18,Volkswagen
1S02502,Parking Without Authorization,West Parkade,15-05-18,Nissan
1S02503,Parking Without Authorization,West Parkade,15-05-18,Jeep
1S02504,Parking Without Authorization,West Parkade,15-05-18,Toyota
1S02505,Parking Without Authorization,West Parkade,15-05-18,Volkswagen
1S02506,Parking Without Authorization,Michael Smith Meters,15-05-19,Dodge
1S02507,Parking Without Authorization,North Parkade,15-05-19,Honda
1S02508,Parking Without Authorization,North Parkade,15-05-19,Mazda
1S02509,Parking Without Authorization,GSAB Lot,15-05-19,Toyota
1S02510,Parking Without Authorization,North Parkade,15-05-19,Volkswagen
1S02511,Parking Without Authorization,North Parkade,15-05-19,Jeep
1S02512,Parking Without Authorization,Walter Gage Road,15-05-19,Honda
1S02513,Parking Without Authorization,Buchanan Meters,15-05-19,Mini
1S02514,Expired Time,West Parkade,15-05-19,Mercendes-Benz
1S02515,Parking Without Authorization,West Parkade,15-05-19,Ford
1S02516,Parking Without Authorization,Old Fire Hall Meters,15-05-19,Mercendes-Benz
1S02517,Expired Time,Fraser River Parkade,15-05-19,Honda
1S02518,Parking Without Authorization,MOA Lot,15-05-19,Nissan
1S02519,Expired Time,MOA Lot,15-05-19,Subaru
1S02520,Parking Without Authorization,West Parkade,15-05-19,Mercendes-Benz
1S02521,Parking Without Authorization,West Parkade,15-05-19,Mini
1S02522,Parking Without Authorization,West Parkade,15-05-19,Mini
1S02523,Parking Without Authorization,West Parkade,15-05-19,Chevrolet
1S02524,Expired Time,West Parkade,15-05-19,Saab
1S02525,Expired Time,West Parkade,15-05-19,Audi
1S02526,Expired Time,West Parkade,15-05-19,Mercendes-Benz
1S02527,Expired Time,West Parkade,15-05-19,Volkswagen
1S02528,Parking Without Authorization,West Parkade,15-05-19,Volkswagen
1S02529,Parking Without Authorization,Rose Garden Parkade,15-05-19,Toyota
1S02530,Expired Time,Rose Garden Parkade,15-05-19,Lexus
1S02531,Parking Without Authorization,Rose Garden Parkade,15-05-19,Hyundai
1S02532,Expired Time,MOA Lot,15-05-19,Chevrolet
1S02533,Parking Without Authorization,MOA Lot,15-05-19,Mercendes-Benz
1S02534,Expired Time,MOA Lot,15-05-19,Toyota
1S02535,Parking Without Authorization,Marine Drive Lot,15-05-19,General Motors
1S02536,Expired Time,East Mall Road,15-05-19,Subaru
1S02537,Expired Time,East Mall Road,15-05-19,Hyundai
1S02538,Expired Time,East Mall Road,15-05-19,Chevrolet
1S02539,Expired Time,East Mall Road,15-05-19,Chevrolet
1S02540,Parking Without Authorization,East Mall Road,15-05-19,Mazda
1S02541,Parking in Improper Location,Stadium Lot,15-05-19,Ford
1S02542,Parking in Improper Location,Stadium Lot,15-05-19,Ford
1S02543,Parking Without Authorization,Stadium Lot,15-05-19,Nissan
1S02544,Parking Without Authorization,Stadium Lot,15-05-19,Jeep
1S02545,Parking Without Authorization,East Mall Road,15-05-19,Ford
1S02546,Parking Without Authorization,Winter Sports Lot,15-05-19,Jeep
1S02547,Parking Without Authorization,Winter Sports Lot,15-05-19,Land Rover
1S02548,Parking Without Authorization,Winter Sports Lot,15-05-19,Toyota
1S02549,Parking in Improper Location,Thunderbird Residence,15-05-19,Dodge
1S02550,Expired Time,Acute Care Unit Lot,15-05-20,Chevrolet
1S02551,Expired Time,Acute Care Unit Lot,15-05-20,Volkswagen
1S02552,Expired Time,Acute Care Unit Lot,15-05-20,Ford
1S02553,Expired Time,Strangway Parking Lot,15-05-20,Infiniti
1S02554,Parking Without Authorization,University Boulevard,15-05-20,Toyota
1S02555,Parking Without Authorization,University Boulevard,15-05-20,Chevrolet
1S02556,Expired Time,Acute Care Unit Lot,15-05-20,Ford
1S02557,Expired Time,Agronomy Road,15-05-20,BMW
1S02558,Parking Without Authorization,Agronomy Road,15-05-20,Honda
1S02559,Expired Time,Acute Care Unit Lot,15-05-20,Lincoln
1S02560,Parking Without Authorization,Acute Care Unit Lot,15-05-20,Honda
1S02561,Expired Time,Strangway Parking Lot,15-05-20,BMW
1S02562,Expired Time,Acute Care Unit Lot,15-05-20,Toyota
1S02563,Expired Time,Acute Care Unit Lot,15-05-20,Honda
1S02564,Parking Without Authorization,Acute Care Unit Lot,15-05-20,Volvo
1S02565,Parking Without Authorization,Acute Care Unit Lot,15-05-20,Audi
1S02566,Expired Time,Acute Care Unit Lot,15-05-20,Toyota
1S02567,Parking Without Authorization,Wesbrook Mall,15-05-20,Pontiac
1S02568,Parking Without Authorization,Wesbrook Mall,15-05-20,Mazda
1S02569,Expired Time,Acute Care Unit Lot,15-05-20,Lexus
1S02570,Parking Without Authorization,East Mall Road,15-05-20,Honda
1S02571,Parking Without Authorization,East Mall Road,15-05-20,Honda
1S02572,Expired Time,Buchanan Meters,15-05-20,Mercendes-Benz
1S02573,Parking Without Authorization,Marine Drive Meters,15-05-20,Mazda
1S02574,Expired Time,West Parkade,15-05-20,BMW
1S02575,Expired Time,West Parkade,15-05-20,Hyundai
1S02576,Expired Time,West Parkade,15-05-20,Jeep
1S02577,Parking Without Authorization,West Parkade,15-05-20,BMW
1S02578,Parking Without Authorization,West Parkade,15-05-20,Subaru
1S02579,Expired Time,Marine Drive Meters,15-05-20,Dodge
1S02580,Parking Without Authorization,Memorial Lot,15-05-20,Honda
1S02581,Parking in Improper Location,Marine Drive Residences,15-05-20,Honda
1S02582,Expired Time,Acute Care Unit Lot,15-05-21,Ford
1S02583,Expired Time,Acute Care Unit Lot,15-05-21,Kia
1S02584,Parking Without Authorization,Wesbrook Mall,15-05-21,Yamaha
1S02585,Parking Without Authorization,Agronomy Road,15-05-21,Dodge
1S02586,Expired Time,Agronomy Road,15-05-21,Nissan
1S02587,Expired Time,Acute Care Unit Lot,15-05-21,Mercendes-Benz
1S02588,Parking Without Authorization,Strangway Parking Lot,15-05-21,Ford
1S02589,Parking Without Authorization,Strangway Parking Lot,15-05-21,Toyota
1S02590,Parking Without Authorization,University Boulevard,15-05-21,Nissan
1S02591,Parking Without Authorization,University Boulevard,15-05-21,Chevrolet
1S02592,Parking Without Authorization,Acute Care Unit Lot,15-05-21,Volkswagen
1S02593,Parking in Improper Location,Strangway Parking Lot,15-05-21,Toyota
1S02594,Parking Without Authorization,Strangway Parking Lot,15-05-21,Ford
1S02595,Expired Time,Acute Care Unit Lot,15-05-21,Ford
1S02596,Parking Without Authorization,Wesbrook Mall,15-05-21,Mercendes-Benz
1S02597,Parking Without Authorization,Stadium Lot,15-05-21,Audi
1S02598,Parking Without Authorization,Wright Field Lot,15-05-21,Volkswagen
1S02599,Expired Time,C2 LOT,15-05-21,Chevrolet
1S02600,Expired Time,Acute Care Unit Lot,15-05-22,Jeep
1S02601,Expired Time,GSAB Lot,15-05-22,Honda
1S02602,Parking Without Authorization,University Boulevard,15-05-22,Jeep
1S02603,Expired Time,University Boulevard,15-05-22,Dodge
1S02604,Unauthorized Disabled Parking,Acute Care Unit Lot,15-05-22,General Motors
1S02605,Parking Without Authorization,Wesbrook Mall,15-05-22,See Comments
1S02606,Parking Without Authorization,Strangway Parking Lot,15-05-22,Nissan
1S02607,Parking Without Authorization,University Boulevard,15-05-22,Toyota
1S02608,Parking Without Authorization,Acute Care Unit Lot,15-05-22,Honda
1S02609,Parking Without Authorization,Acute Care Unit Lot,15-05-22,Toyota
1S02610,Expired Time,Acute Care Unit Lot,15-05-22,Acura
1S02611,Parking Without Authorization,Acute Care Unit Lot,15-05-22,Honda
1S02612,Parking Without Authorization,Strangway Parking Lot,15-05-22,Honda
1S02613,Parking Without Authorization,University Boulevard,15-05-22,Nissan
1S02614,Parking Without Authorization,University Boulevard,15-05-22,Toyota
1S02615,Expired Time,Wesbrook Mall,15-05-22,Lexus
1S02616,Parking Without Authorization,C2 LOT,15-05-22,Hyundai
1S02617,Parking Without Authorization,Winter Sports Lot,15-05-22,Audi
1S02618,Parking Without Authorization,Wright Field Lot,15-05-22,BMW
1S02619,Parking Without Authorization,Winter Sports Lot,15-05-22,Volkswagen
1S02620,Parking Without Authorization,Stadium Lot,15-05-22,Volvo
1S02621,Parking Without Authorization,Acute Care Unit Lot,15-05-25,Dodge
1S02622,Expired Time,Acute Care Unit Lot,15-05-25,Land Rover
1S02623,Parking Without Authorization,Strangway Parking Lot,15-05-25,Acura
1S02624,Expired Time,Acute Care Unit Lot,15-05-25,Toyota
1S02625,Parking Without Authorization,Strangway Parking Lot,15-05-25,Lexus
1S02626,Expired Time,Acute Care Unit Lot,15-05-25,Mazda
1S02627,Parking in Improper Location,University Boulevard,15-05-25,Hyundai
1S02628,Expired Time,Acute Care Unit Lot,15-05-25,Honda
1S02629,Expired Time,Wesbrook Mall,15-05-25,Chevrolet
1S02630,Expired Time,Strangway Parking Lot,15-05-25,Nissan
1S02631,Parking Without Authorization,University Boulevard,15-05-25,Ford
1S02632,Expired Time,University Boulevard,15-05-25,Toyota
1S02633,Parking Without Authorization,Strangway Parking Lot,15-05-25,Mazda
1S02634,Expired Time,Acute Care Unit Lot,15-05-25,Infiniti
1S02635,Parking Without Authorization,Acute Care Unit Lot,15-05-25,Ford
1S02636,Parking Without Authorization,Michael Smith Meters,15-05-25,Toyota
1S02637,Parking Without Authorization,University Boulevard,15-05-25,Mazda
1S02638,Expired Time,Strangway Parking Lot,15-05-25,Honda
1S02639,Expired Time,Strangway Parking Lot,15-05-25,Ford
1S02640,Expired Time,GSAB Lot,15-05-25,Kia
1S02641,Expired Time,Walter Gage Road,15-05-25,Volvo
1S02642,Parking Without Authorization,Walter Gage Road,15-05-25,Audi
1S02643,Parking Without Authorization,Law Lot,15-05-25,BMW
1S02644,Parking Without Authorization,North Parkade,15-05-25,Mazda
1S02645,Parking Without Authorization,North Parkade,15-05-25,Infiniti
1S02646,Parking Without Authorization,North Parkade,15-05-25,Toyota
1S02647,Expired Time,North Parkade,15-05-25,Toyota
1S02648,Parking Without Authorization,North Parkade,15-05-25,BMW
1S02649,Expired Time,North Parkade,15-05-25,Infiniti
1S02650,Parking Without Authorization,Michael Smith Meters,15-05-25,Mazda
1S02651,Parking Without Authorization,Thunderbird Parkade,15-05-25,BMW
1S02652,Parking Without Authorization,Thunderbird Parkade,15-05-25,BMW
1S02653,Expired Time,Thunderbird Parkade,15-05-25,Toyota
1S02654,Parking Without Authorization,Buchanan Meters,15-05-25,Subaru
1S02655,Parking Without Authorization,Cecil Green Road,15-05-25,Honda
1S02656,Expired Time,Acute Care Unit Lot,15-05-25,Honda
1S02657,Parking Without Authorization,Walter Gage Road,15-05-25,Honda
1S02658,Expired Time,Thunderbird Parkade,15-05-25,Ford
1S02659,Parking Without Authorization,Acute Care Unit Lot,15-05-26,Honda
1S02660,Parking Without Authorization,Acute Care Unit Lot,15-05-26,Mazda
1S02661,Parking Without Authorization,Strangway Parking Lot,15-05-26,Dodge
1S02662,Expired Time,Acute Care Unit Lot,15-05-26,Hyundai
1S02663,Expired Time,Wesbrook Mall,15-05-26,Mercendes-Benz
1S02664,Parking Without Authorization,Strangway Parking Lot,15-05-26,Honda
1S02665,Parking Without Authorization,Strangway Parking Lot,15-05-26,Toyota
1S02666,Expired Time,Wesbrook Mall,15-05-26,Chevrolet
1S02667,Expired Time,Wesbrook Mall,15-05-26,Honda
1S02668,Expired Time,Wesbrook Mall,15-05-26,Toyota
1S02669,Expired Time,GSAB Lot,15-05-26,Dodge
1S02670,Expired Time,University Boulevard,15-05-26,Volkswagen
1S02671,Expired Time,Michael Smith Meters,15-05-26,Nissan
1S02672,Expired Time,Strangway Parking Lot,15-05-26,General Motors
1S02673,Parking Without Authorization,Strangway Parking Lot,15-05-26,Subaru
1S02674,Expired Time,Strangway Parking Lot,15-05-26,Honda
1S02675,Expired Time,Acute Care Unit Lot,15-05-26,Chevrolet
1S02676,Expired Time,Acute Care Unit Lot,15-05-26,Volkswagen
1S02677,Parking Without Authorization,Acute Care Unit Lot,15-05-26,Toyota
1S02678,Expired Time,Wesbrook Mall,15-05-26,Toyota
1S02679,Parking Without Authorization,Winter Sports Lot,15-05-27,Lexus
1S02680,Parking Without Authorization,Winter Sports Lot,15-05-27,Audi
1S02681,Parking Without Authorization,Strangway Parking Lot,15-05-27,General Motors
1S02682,Expired Time,Strangway Parking Lot,15-05-27,Nissan
1S02683,Expired Time,Strangway Parking Lot,15-05-27,Toyota
1S02684,Expired Time,Michael Smith Meters,15-05-27,Honda
1S02685,Expired Time,Acute Care Unit Lot,15-05-27,Nissan
1S02686,Expired Time,Student Union Mall,15-05-27,Mercendes-Benz
1S02687,Parking Without Authorization,North Parkade,15-05-27,SmartCar
1S02688,Expired Time,North Parkade,15-05-27,Jeep
1S02689,Parking Without Authorization,North Parkade,15-05-27,Nissan
1S02690,Parking Without Authorization,North Parkade,15-05-27,Toyota
1S02691,Parking Without Authorization,C2 LOT,15-05-27,Toyota
1S02692,Expired Time,Winter Sports Lot,15-05-27,Ford
1S02693,Parking Without Authorization,Wright Field Lot,15-05-27,Audi
1S02694,Parking Without Authorization,Wright Field Lot,15-05-27,Ford
1S02695,Parking Without Authorization,East Mall Road,15-05-27,Hyundai
1S02696,Expired Time,East Mall Road,15-05-27,Ford
1S02697,Parking Without Authorization,East Mall Road,15-05-27,Subaru
1S02698,Parking Without Authorization,Stadium Lot,15-05-27,Subaru
1S02699,Parking Without Authorization,Life Sciences Centre,15-05-28,Chevrolet
1S02700,Parking Without Authorization,Life Sciences Centre,15-05-28,Infiniti
1S02701,Parking Without Authorization,Life Sciences Centre,15-05-28,Ford
1S02702,Parking Without Authorization,Law Lot,15-05-28,Volkswagen
1S02703,Expired Time,Student Union Mall,15-05-28,Honda
1S02704,Parking Without Authorization,Student Union Mall,15-05-28,Chevrolet
1S02705,Parking Without Authorization,North Parkade,15-05-28,Toyota
1S02706,Parking Without Authorization,North Parkade,15-05-28,Volvo
1S02707,Parking Without Authorization,North Parkade,15-05-28,Toyota
1S02708,Parking Without Authorization,North Parkade,15-05-28,Toyota
1S02709,Parking Without Authorization,North Parkade,15-05-28,Toyota
1S02710,Expired Time,North Parkade,15-05-28,Ford
1S02711,Parking Without Authorization,North Parkade,15-05-28,Ford
1S02712,Parking Without Authorization,North Parkade,15-05-28,Toyota
1S02713,Parking Without Authorization,North Parkade,15-05-28,BMW
1S02714,Parking Without Authorization,North Parkade,15-05-28,BMW
1S02715,Parking Without Authorization,North Parkade,15-05-28,Audi
1S02716,Parking Without Authorization,North Parkade,15-05-28,Audi
1S02717,Parking Without Authorization,North Parkade,15-05-28,Land Rover
1S02718,Expired Time,Health Sciences Parkade,15-05-28,Audi
1S02719,Parking Without Authorization,Health Sciences Parkade,15-05-28,Toyota
1S02720,Parking Without Authorization,Health Sciences Parkade,15-05-28,BMW
1S02721,Expired Time,Winter Sports Lot,15-05-28,Infiniti
1S02722,Parking Without Authorization,Winter Sports Lot,15-05-28,Volkswagen
1S02723,Parking Without Authorization,Winter Sports Lot,15-05-28,Volkswagen
1S02724,Expired Time,Wright Field Lot,15-05-28,Toyota
1S02725,Parking Without Authorization,Wright Field Lot,15-05-28,Chevrolet
1S02726,Expired Time,East Mall Road,15-05-28,Toyota
1S02727,Expired Time,East Mall Road,15-05-28,Mazda
1S02728,Parking Without Authorization,Stadium Lot,15-05-28,Dodge
1S02729,Expired Time,Stadium Lot,15-05-28,General Motors
1S02730,Parking Without Authorization,Stadium Lot,15-05-28,Toyota
1S02731,Expired Time,C2 LOT,15-05-28,Nissan
1S02732,Expired Time,Winter Sports Lot,15-05-28,Ford
1S02733,Expired Time,East Mall Road,15-05-28,Acura
1S02734,Parking Without Authorization,East Mall Road,15-05-28,Land Rover
1S02735,Parking Without Authorization,East Mall Road,15-05-28,Honda
1S02736,Parking Without Authorization,East Mall Road,15-05-28,Mazda
1S02737,Parking Without Authorization,East Mall Road,15-05-28,Toyota
1S02738,Parking Without Authorization,East Mall Road,15-05-28,Honda
1S02739,Expired Time,East Mall Road,15-05-28,Mini
1S02740,Parking Without Authorization,East Mall Road,15-05-28,Toyota
1S02741,Parking Without Authorization,East Mall Road,15-05-28,Dodge
1S02742,Expired Time,East Mall Road,15-05-28,Infiniti
1S02743,Expired Time,East Mall Road,15-05-28,Honda
1S02744,Expired Time,East Mall Road,15-05-28,Land Rover
1S02745,Expired Time,C2 LOT,15-05-28,Mazda
1S02746,Parking Without Authorization,C2 LOT,15-05-28,Mercendes-Benz
1S02747,Parking Without Authorization,North Parkade,15-05-29,Honda
1S02748,Parking Without Authorization,North Parkade,15-05-29,Pontiac
1S02749,Parking Without Authorization,North Parkade,15-05-29,Toyota
1S02750,Parking Without Authorization,Health Sciences Parkade,15-05-29,Hyundai
1S02751,Parking Without Authorization,Health Sciences Parkade,15-05-29,Audi
1S02752,Parking Without Authorization,Health Sciences Parkade,15-05-29,Honda
1S02753,Expired Time,Health Sciences Parkade,15-05-29,Honda
1S02754,Parking Without Authorization,Health Sciences Parkade,15-05-29,Toyota
1S02755,Parking Without Authorization,Health Sciences Parkade,15-05-29,Acura
1S02756,Parking Without Authorization,Health Sciences Parkade,15-05-29,Dodge
1S02757,Parking Without Authorization,Health Sciences Parkade,15-05-29,Audi
1S02758,Expired Time,Health Sciences Parkade,15-05-29,Mercendes-Benz
1S02759,Parking Without Authorization,Health Sciences Parkade,15-05-29,Toyota
1S02760,Parking Without Authorization,Health Sciences Parkade,15-05-29,Honda
1S02761,Parking Without Authorization,Health Sciences Parkade,15-05-29,Subaru
1S02762,Parking Without Authorization,Health Sciences Parkade,15-05-29,Subaru
1S02763,Parking Without Authorization,Health Sciences Parkade,15-05-29,BMW
1S02764,Parking Without Authorization,Buchanan Meters,15-05-29,Mini
1S02765,Parking Without Authorization,North Parkade,15-05-29,BMW
1S02766,Parking Without Authorization,Cecil Green Road,15-05-29,Ford
1S02767,Parking Without Authorization,Cecil Green Road,15-05-29,Honda
1S02768,Expired Time,Winter Sports Lot,15-05-29,Land Rover
1S02769,Expired Time,Winter Sports Lot,15-05-29,Nissan
1S02770,Parking Without Authorization,C2 LOT,15-05-29,Porsche
1S02771,Parking Without Authorization,B4 LOT,15-05-29,Mazda
1S02772,Parking Without Authorization,Doug Mitchell Arena,15-05-29,Toyota
1S02773,Parking Without Authorization,Doug Mitchell Arena,15-05-29,Toyota
1S02774,Parking in Improper Location,Doug Mitchell Arena,15-05-29,Toyota
1S02775,Expired Time,Acute Care Unit Lot,15-05-29,BMW
1S02776,Expired Time,University Boulevard,15-05-29,Honda
1S02777,Expired Time,Strangway Parking Lot,15-05-29,Subaru
1S02778,Expired Time,Wesbrook Mall,15-05-29,Hyundai
1S02779,Expired Time,B4 LOT,15-05-29,Toyota
1S02780,Expired Time,B4 LOT,15-05-29,Ford
1S02781,Expired Time,Winter Sports Lot,15-05-29,Honda
1S02782,Parking Without Authorization,Wesbrook Mall,15-05-29,Toyota
1S02783,Parking Without Authorization,Wesbrook Mall,15-05-29,Honda
1S02784,Parking Without Authorization,Wesbrook Mall,15-05-29,Honda
1S02785,Parking Without Authorization,West Parkade,15-05-30,Nissan
1S02786,Parking Without Authorization,West Parkade,15-05-30,Jeep
1S02787,Parking Without Authorization,West Parkade,15-05-30,BMW
1S02788,Parking Without Authorization,West Parkade,15-05-30,Audi
1S02789,Parking Without Authorization,West Parkade,15-05-30,Subaru
1S02790,Improper Parking,West Parkade,15-05-30,General Motors
1S02791,Parking Without Authorization,West Parkade,15-05-30,Mazda
1S02792,Parking Without Authorization,West Parkade,15-05-30,Pontiac
1S02793,Parking Without Authorization,West Parkade,15-05-30,Lexus
1S02794,Parking Without Authorization,West Parkade,15-05-30,Nissan
1S02795,Parking Without Authorization,West Parkade,15-05-30,BMW
1S02796,Parking Without Authorization,West Parkade,15-05-30,Mazda
1S02797,Parking Without Authorization,West Parkade,15-05-30,Toyota
1S02798,Expired Time,West Parkade,15-05-30,Honda
1S02799,Parking Without Authorization,West Parkade,15-05-30,Honda
1S02800,Parking Without Authorization,West Parkade,15-05-30,Ford
1S02801,Parking Without Authorization,Fraser River Parkade,15-05-30,Ford
1S02802,Expired Time,Fraser River Parkade,15-05-30,Nissan
1S02803,Parking Without Authorization,Fraser River Parkade,15-05-30,Toyota
1S02804,Parking Without Authorization,MOA Lot,15-05-30,Pontiac
1S02805,Parking Without Authorization,MOA Lot,15-05-30,Chevrolet
1S02806,Parking Without Authorization,Marine Drive Lot,15-05-30,Mitsubishi
1S02807,Parking Without Authorization,Marine Drive Lot,15-05-30,Mazda
1S02808,Parking Without Authorization,Marine Drive Lot,15-05-30,BMW
1S02809,Parking Without Authorization,Marine Drive Lot,15-05-30,Acura
1S02810,Parking Without Authorization,Marine Drive Lot,15-05-30,Toyota
1S02811,Parking Without Authorization,Marine Drive Lot,15-05-30,Pontiac
1S02812,Parking Without Authorization,Marine Drive Lot,15-05-30,Honda
1S02813,Parking Without Authorization,Marine Drive Lot,15-05-30,Honda
1S02814,Parking Without Authorization,Student Union Mall,15-06-01,Ford
1S02815,Expired Time,Michael Smith Meters,15-06-01,Acura
1S02816,Parking Without Authorization,Michael Smith Meters,15-06-01,Volkswagen
1S02817,Parking Without Authorization,Michael Smith Meters,15-06-01,Jeep
1S02818,Expired Time,Michael Smith Meters,15-06-01,Toyota
1S02819,Parking Without Authorization,Marine Drive Meters,15-06-01,Honda
1S02820,Expired Time,West Parkade,15-06-01,Mazda
1S02821,Parking Without Authorization,West Parkade,15-06-01,Acura
1S02822,Expired Time,West Parkade,15-06-01,Mercury
1S02823,Parking Without Authorization,East Mall Road,15-06-01,Ford
1S02824,Parking Without Authorization,Wright Field Lot,15-06-01,Honda
1S02825,Parking Without Authorization,Wright Field Lot,15-06-01,Plymouth
1S02826,Parking Without Authorization,Wright Field Lot,15-06-01,Volkswagen
1S02827,Parking Without Authorization,Wright Field Lot,15-06-01,Mercendes-Benz
1S02828,Parking Without Authorization,Wright Field Lot,15-06-01,Toyota
1S02829,Parking Without Authorization,East Mall Road,15-06-01,Subaru
1S02830,Parking Without Authorization,Agronomy Road,15-06-02,Honda
1S02831,Parking Without Authorization,Acute Care Unit Lot,15-06-02,Mercendes-Benz
1S02832,Parking Without Authorization,Strangway Parking Lot,15-06-02,Chevrolet
1S02833,Parking Without Authorization,Wesbrook Mall,15-06-02,BMW
1S02834,Parking Without Authorization,Acute Care Unit Lot,15-06-02,Honda
1S02835,Expired Time,Acute Care Unit Lot,15-06-02,General Motors
1S02836,Expired Time,Acute Care Unit Lot,15-06-02,Dodge
1S02837,Expired Time,Acute Care Unit Lot,15-06-02,Ford
1S02838,Expired Time,Acute Care Unit Lot,15-06-02,Toyota
1S02839,Expired Time,Agronomy Road,15-06-02,Dodge
1S02840,Parking Without Authorization,Acute Care Unit Lot,15-06-02,Fiat
1S02841,Expired Time,Acute Care Unit Lot,15-06-02,Buick
1S02842,Expired Time,Acute Care Unit Lot,15-06-02,Acura
1S02843,Parking Without Authorization,Acute Care Unit Lot,15-06-02,Chrysler
1S02844,Expired Time,Strangway Parking Lot,15-06-02,Volkswagen
1S02845,Expired Time,Michael Smith Meters,15-06-02,Mini
1S02846,Parking Without Authorization,Michael Smith Meters,15-06-02,SmartCar
1S02847,Expired Time,Marine Drive Meters,15-06-02,Honda
1S02848,Parking Without Authorization,West Parkade,15-06-02,Acura
1S02849,Parking in Improper Location,West Mall Road,15-06-02,General Motors
1S02850,Expired Time,Old Fire Hall Meters,15-06-02,General Motors
1S02851,Parking Without Authorization,MOA Lot,15-06-02,Mazda
1S02852,Expired Time,Fraser River Parkade,15-06-02,Ford
1S02853,Parking Without Authorization,West Parkade,15-06-02,Volkswagen
1S02854,Parking Without Authorization,West Parkade,15-06-02,Jeep
1S02855,Expired Time,West Parkade,15-06-02,Mazda
1S02856,Expired Time,West Parkade,15-06-02,Mercendes-Benz
1S02857,Expired Time,West Parkade,15-06-02,Toyota
1S02858,Expired Time,Old Fire Hall Meters,15-06-02,Mazda
1S02859,Expired Time,MOA Lot,15-06-02,Toyota
1S02860,Parking Without Authorization,MOA Lot,15-06-02,General Motors
1S02861,Expired Time,MOA Lot,15-06-02,Volvo
1S02862,Expired Time,Fraser River Parkade,15-06-02,Hyundai
1S02863,Expired Time,Fraser River Parkade,15-06-02,Toyota
1S02864,Parking Without Authorization,Old Fire Hall Meters,15-06-02,Toyota
1S02865,Expired Time,Marine Drive Meters,15-06-02,Mazda
1S02866,Parking in Improper Location,University Boulevard,15-06-03,Ford
1S02867,Parking in Improper Location,University Boulevard,15-06-03,Toyota
1S02868,Parking Without Authorization,Walter Gage Road,15-06-03,Toyota
1S02869,Parking Without Authorization,Buchanan Meters,15-06-03,Mazda
1S02870,Parking Without Authorization,Buchanan Meters,15-06-03,Mercendes-Benz
1S02871,Parking Without Authorization,Buchanan Meters,15-06-03,Volkswagen
1S02872,Parking Without Authorization,Michael Smith Meters,15-06-03,Ford
1S02873,Parking Without Authorization,Michael Smith Meters,15-06-03,Chevrolet
1S02874,Parking in Improper Location,University Boulevard,15-06-03,Chevrolet
1S02875,Parking in Improper Location,University Boulevard,15-06-03,Toyota
1S02876,Parking in Improper Location,University Boulevard,15-06-03,Chevrolet
1S02877,Parking in Improper Location,University Boulevard,15-06-03,Ford
1S02878,Parking Without Authorization,Walter Gage Road,15-06-03,Scion
1S02879,Parking Without Authorization,Buchanan Meters,15-06-03,Mercendes-Benz
